English,Dutch,German,Swedish,Danish,Icelandic,Gothic,Proto-Germanic
other,ander,anderer,annan,anden,annar,𐌰𐌽𐌸𐌰𐍂,anþeraz
,,,änne,,enni,,anþiją
,,,,,önd,,anþō
,,,apel,abild,,,apaldraz
,,,äpple,æble,epli,,apaliją
apple,appel,apfel,,,,,aplaz
apple,appel,apfel,,,,,apluz
ape,aap,affe,apa,abe,api,,apô
,,arbeit,arvode,,erfiði,,arbaidiją
,arbeiden,arbeiten,arbeta,,,𐌰𐍂𐌱𐌰𐌹𐌳𐌾𐌰𐌽,arbaidijaną
,arbeid,arbeit,arbete,,,𐌰𐍂𐌱𐌰𐌹𐌸𐍃,arbaidiz
,,arbeiten,arbeta,,erfiða,,arbaidōną
erf,erf,erbe,,,erfi,𐌰𐍂𐌱𐌹,arbiją
,erven,erben,ärva,,erfa,,arbijaną
,erve,erbe,,,arfi,𐌰𐍂𐌱𐌾𐌰,arbijô
,aard,art,,,arður,,ardiz
,,,,,örðugur,,ardugaz
,erf,arf,arv,arve,arfi,,arfô
argh,erg,arg,arg,arg,argur,𐌰𐍂𐌲𐍃,argaz
,,,,,ergja,,argijaną
arrow,,,,,ör,𐌰𐍂𐍈𐌰,arhwō
ear,,,ärja,ærje,erja,𐌰𐍂𐌾𐌰𐌽,arjaną
,,,,,,𐌰𐍂𐌾𐌹𐍃,arjaz
,erbarmen,erbarmen,,,,𐌰𐍂𐌼𐌰𐌽,armāną
arm,arm,arm,arm,arm,armur,𐌰𐍂𐌼𐍃,armaz
,,armen,,,erma,,armijaną
,armoede,armut,,,armæða,,armōdiją
,armst,,,,,𐌰𐍂𐌼𐍉𐍃𐍄𐍃,armōstaz
,,,,,ern,,arnijaz
erne,aar,aar,örn,ørn,örn,𐌰𐍂𐌰,arô
,,arnulf,,,arnúlfur,,arôwulfaz
arse,aars,arsch,,,rass,,arsaz
ert,,,ärta,erte,erta,,artijaną
,,,årta,,,,artǭ
,nerf,narbe,ärr,ar,ör,𐌰𐍂𐍅𐌾𐍉,arwaz
,erwt,erbse,ärt,ært,erta,,arwīts
,,,årder,ard,arður,,arþrą
,,esse,ässja,esse,,,asjǭ
ash,es,esche,ask,ask,askur,,askaz
ash,as,asche,aska,aske,aska,𐌰𐌶𐌲𐍉,askǭ
asp,esp,espe,asp,asp,ösp,,aspō
,ast,ast,,,,𐌰𐍃𐍄𐍃,astaz
,,,,,,𐌰𐍃𐌽𐌴𐌹𐍃,asunz
at,,,att,at,að,𐌰𐍄,at
,betogen,,,,,𐌰𐍄𐌰𐌿𐌲𐌾𐌰𐌽,ataugijaną
,,,,,,𐌰𐍄𐌱𐌰𐌹𐍂𐌰𐌽,atberaną
,,,,,atgeir,,atgaizaz
,,,,,,𐌰𐍄𐌲𐌹𐌱𐌰𐌽,atgebaną
,es,esch,,,,𐌰𐍄𐌹𐍃𐌺,atiską
,etten,ätzen,,,etja,,atjaną
