English,Dutch,German,Swedish,Danish,Icelandic,Gothic,Proto-Germanic
,,,,,,aɸta,aɸtai
,,,,,afdan,aɸtana,aɸtaneː
aftə,ɑxtər,aftɜ,ɛftər,εftʔʌ,ɛfdɪr,,aɸter
,,,,,,aɸtaroː,aɸteraz
,,,oːtər,atʔʌ,afdʏr,aɸtra,aɸtrã
,,,,,,aɸtuma,aɸtumɔːː
,,aɾbaɪt,arvuːdə,,ɛrrfɪðɪ,,arbaiðijã
,ɑrbɛɪdən,aɾbaɪtən,arbeːta,,,arbɛːðjan,arbaiðijanã
,ɑrbɛɪt,aɾbaɪt,arbeːtə,,,arbɛːθs,arbaiðiz
,,aɾbaɪtən,arbeːta,,ɛrrfɪða,,arbaiðɔːnã
ɜːf,ɛrf,ɛɾbə,,,ɛrrfɪ,arbi,arbijã
,ɛrvən,ɛɾbən,ɛrva,,ɛrrfa,,arbijanã
,ɛrvə,ɛɾbə,,,arrfɪ,arbja,arbijɔːː
,aːrt,ɑːɾt,,,arðʏr,,ardiz
,,,,,œrðʏɣʏr,,arduɣaz
ɑːg,ɛrx,aɾk,arj,ɑw,argʏr,args,argaz
,,,,,ɛrɟa,,argijanã
iə,,,ɛrja,εɐ̯jə,ɛrja,arjan,arjanã
,,,,,,arjis,arjaz
,ɛrbɑrmən,ɛɾbaɾmən,,,,arman,armaːnã
ɑːm,ɑrm,aɾm,arm,ɑm,armʏr,arms,armaz
,,aɾmən,,,ɛrma,,armijanã
,ɑrmudə,aɾmuːt,,,armaɪða,,armɔːðijã
,ɑrmst,,,,,armoːsts,armɔːstaz
,,,,,ɛrdn,,arnijaz
ɜːn,aːr,ɑːɾ,œrn,ʔœɐ̯n,œrdn,ara,arɔːː
,,aɾnʊlf,,,ardnulʋʏr,,arɔːːwulɸaz
,ɛrf,aɾf,arv,ɑʋə,arrfɪ,,arɸɔːː
ɑːs,aːrs,aɾʃ,,,rass,,arsaz
ɜːt,,,ɛta,εɐ̯də,ɛrrda,,artijanã
,,,oːta,,,,artɔ̃ː
,nɛrf,naɾbə,ɛr,ɑ,œːr,arwjoː,arwaz
,ɛrwt,ɛɾbzeː,ɛt,εɐ̯t,ɛrrda,,arwiːts
aɹəʊ,,,,,œːr,arhʷaː,arxʷɔː
,,,oːrdər,ɑd,arðʏr,,arθrã
,,ɛsə,ɛsja,ʔesə,,,asjɔ̃ː
aʃ,ɛs,ɛʃə,ask,ask,asgʏr,,askaz
aʃ,ɑs,aʃə,aska,askə,asga,azgoː,askɔ̃ː
asp,ɛsp,ɛspə,asp,asp,œsb,,aspɔː
,ɑst,ast,,,,asts,astaz
,,,,,,asniːs,asunz
at,,,at,a,aːð,at,at
,bətoːɣən,,,,,atɔːɣjan,atauɣijanã
,,,,,,atbɛːran,atberanã
,,,,,adgeɪr,,atgaizaz
,,,,,,atgiβan,atgeβanã
,ɛs,ɛʃ,,,,atisk,atiskã
,ɛtən,ɛtsən,,,ɛːdja,,atjanã
,,,,,,atstandan,atstandanã
dad,ɛtə,,,,,atta,attɔːː
,,,,,øʏːðʏɣʏr,ɔːðaɣs,auðaɣaz
,,,,,øʏðga,,auðaɣɔːnã
,,,øːdə,,øʏːðɪð,,auðanaz
ɛdɹɪk,,,,,,,auðariːks
,,oːtakɑːɾ,,,,ɔːðawakrs,auðawakraz
ɛdwəd,,,,,jaʊːdʋarðʏr,,auðawarduz
ɛdwɪn,,ɔtvɪn,,,øʏːðʏn,,auðawiniz
,,,,,øʏːðoʊlʋʏr,,auðawulɸaz
,,,øːd,,øʏːðʏr,,auðaz
,oːɣən,ɔøgən,,,eɪjja,ɔːɣjan,auɣijanã
,,,œŋna,ʔʌjnə,,,auɣŋijanã
aɪ,oːx,aʊgə,øːga,ʌjə,øʏːɣa,ɔːɣoː,auɣɔːː
iːk,oːk,aʊx,ɔk,ʌ,øʏːg,ɔːk,auk
iːk,oːkən,,øːka,œjə,øʏːga,ɔːkan,aukanã
,,,,,,ɔːknan,aukŋanã
iːk,,,,œjə,øʏːɟɪ,,aukɔːː
iːk,,,øːka,œjə,øʏːga,,aukɔːnã
iən,ɔnən,,øːna,,,,aunɔːnã
,,,øːr,ʔœɐ̯,øʏːr,,auraz
,,,øːr,ʔœɐ̯,eɪːɾrɪ,,auriː
,,,øːrə,œʔʌ,eɪːɾrɪr,,aurijaz
,hoːzən,,øːsa,œsə,øʏːsa,,ausanã
iə,oːr,oːɾ,øːra,œʔʌ,eɪːɾra,ɔːsoː,ausɔːː
,,,œstan,,øʏsdan,,austaneː
iːst,oːst,ɔst,œstər,ʔœstʔʌ,øʏsdʏr,,austrã
iːst,,,,,,,austraz
iːstə,,oːstɜn,,,,,austrɔ̃ː
,,oːstɜmoːnɑːt,,,,,austrɔːmeːnɔːθs
iːstən,,,,,øʏsdəraɪn,,austrɔːnijaz
,,,,,,ɔːzandil,auziwandilaz
,,øːdən,øːda,,eɪːða,,auθijanã
,,øːdə,øːkən,ʔœɐ̯kən,øʏːðʏr,ɔːθiːs,auθijaz
iːθ,oːlək,øːøːt,,,øʏːð,,auθuz
,,,oːda,,aɪːðʏr,,awaðiː
iːm,oːm,oːaɪm,,,,,awaxaimaz
,,,,,,aweːθi,awiðijã
,,,,,,awistr,awistrã
juː,oːj,aʊə,,ɒlɑm,aɪːr,,awiz
aɪ,oːjbɔs,aʊ,øː,œ,eɪː,,awjɔː
ɪlənd,ɛɪlɑnt,aɪlant,øːland,ʔœlan,eɪːland,,awjɔːlandã
,,,,,,awoː,awɔ̃ː
,,,,,aːʋɪ,,awɔːː
ɔːn,,ɑːgən,aŋn,ɑwnə,œgn,ahaːna,axanɔː
iə,aːr,ɛːrə,,,,ahs,axaz
,,,,,,ahjan,axjanã
aksəl,ɑsəl,aksəl,aksəl,ɑksəl,œksl,,axslɔː
,ɑs,axzə,,,,,axsɔː
eɪt,ɑxt,axt,ɔtːa,ʔotə,aʊhda,ahtɔː,axtɔːu
eɪti,tɑxtəx,axtsɪç,,,,ahtɔːteːhuːnd,axtɔːuteːxundã
eɪtiːn,ɑxtin,axtseːn,adətuːn,adən,aʊːdjaʊn,,axtɔːutexun
eɪtθ,,axtə,ɔtːɔndə,ʔʌdənə,aʊhdʏndɪ,ahtuða,axtuðɔːː
ɛdi,aː,ax,oː,ɒ,aʊː,ahʷaː,axʷɔː
,ɔːrn,ɛɾntə,and,,œn,asans,azaniz
,aːrɛnt,ɛɾntə,and,,,,azanɔːðaz
ɜːn,,ɛɾntən,,,anna,,azanɔːnã
ɒv,ɑf,ap,ɑːv,a,aːf,aɸ,aβ
,,,,,aːf,aɸ-,aβa-
,ɑfɣeːvən,apgeːbən,,,,aɸgiβan,aβaɣeβanã
ɒfleɪ,ɑflɛɣən,apleːgən,,,ablɛgja,aɸlaɣjan,aβalaɣjanã
,ɑfneːmən,apneːmən,,,abhnɛːma,aɸniman,aβanemanã
ɒfhand,ɑfhɑndəx,,avhənda,,afhɛndʏr,,aβaxandijaz
,,,,,ɛfsa,,aβisjanã
ɛb,ɛp,ɛbə,ɛvja,,ɛfja,,aβjɔ̃ː
,,,ɛmnə,ʔewnə,ɛbhnɪ,,aβnijã
,,,ɛmna,ʔewnə,ɛbhna,,aβnijanã
,,,,,aːʋɪ,aβa,aβɔːː
,,,,,aːʋar,aβrs,aβraz
,,,ɑːvɵnd,aʋʔen,œfʏnd,,aβundiz
,,ɛːbɪç,ɑːvɪg,aʋəð,œfʏːɣʏr,iβuks,aβuxaz
,aːdəl,ɑdəl,,,aːðal,,aθalã
ɛlgə,,ɑdɛlgɜ,,,aːðalgeɪr,,aθalaɣaizaz
,,ɑdɔlf,,,,aθalawulɸs,aθalawulɸaz
,,,,,aːðatl,,aθalaz
,,,,,,aθnam,aθna-
aθəl,eːdəl,eːdəl,,,ɛðlɪ,,aθulijaz
aθəlɪŋ,eːdəlɪŋ,,ɛdlɪŋ,,œðliŋgʏr,,aθuliŋgaz
bad,,,,,,,bað-
bɛd,bɛt,bɛt,bɛd,,bɛːðʏr,baði,baðjã
biːdhʊk,,,bøːd,,bœːð,baðus,baðwɔː
biːm,boːm,baʊm,,,baðmʏr,baɣms,baɣmaz
bəʊθ,bɛɪdə,baɪdə,boːdə,bɒðə,baʊːðɪr,bɛː,bai
,bɛɪdən,,beːdas,,beɪːða,bɛːðjan,baiðijanã
bəʊn,beːn,baɪn,beːn,bʔen,beɪːn,,bainã
beɪn,,,beːna,bʔen,beɪdn,,bainaz
bəʊt,boːt,,,,beɪːd,,baitaz
beɪt,beːtən,,,beðə,beɪːda,,baitijanã
,bɛɪtəl,,,,,,baitilaz
beɪt,,baɪsə,beːt,bʔeð,beɪːda,,baitɔː
,,,,,beɪːdʏr,bɛːtrs,baitraz
bak,,baxə,bɑːk,baj,baːg,,bakã
beɪkə,bɑkər,bɛkɜ,bagarə,bajʌ,baːgaɾrɪ,,bakaːrijaz
beɪk,bɑkən,bakən,bɑːka,bajə,baːga,,bakanã
bakbɔːd,bɑkbɔːrt,bakboːɾt,babuːrd,bɑwbʔoɐ̯,bagbɔrðɪ,,bakaβurdaz
bɛk,beːk,bax,bɛk,bεk,bɛhgʏr,,bakiz
,bɑkən,bakən,,,baːga,,bakkɔːnã
,,,bɛlga,bεlə,bɛlɟa,,balgijanã
bɛlɪ,bɑlx,balk,bɛlj,bεlj,bɛlgʏr,balgs,balgiz
bɔːlk,bɑlk,balkən,bjɛlkə,bjεlkə,bjaʊlɟɪ,,balkɔːː
beɪl,baːl,bal,bɔl,bʔʌld,bœdlʏr,,balluz
bɔːldɹɪk,,balts,bɛːltə,bεldə,bɛldɪ,,baltijaz
beɪl,,,,,bœːl,,balwã
beɪlfəl,bɑldaːdəx,,,,bœlʋis,balus,balwaz
,,,,,bœlʋa,,balwɔːnã
bɔːldwɪn,bʌʊdəʋɛɪn,balduːɪn,baldviːn,balʋʔin,baldʋɪn,,balθawiniz
bəʊld,bʌʊt,balt,boːld,,badlʏr,balθs,balθaz
,,,,,,balθiː,balθĩː
biːld,,,,,bɛdla,balθjan,balθijanã
band,,,,,,bandi,bandiː
bɛnd,,,bɛnda,bεnə,bɛnda,,bandijanã
band,bɛndə,,,,,,bandiz
,,,,,bɛnda,bandwjan,bandwijanã
,bɛŋəl,bɛŋəl,,,,,baŋgilaz
baŋ,bɔŋkən,baŋkən,baŋka,bɑnkə,baʊŋga,,baŋgɔːnã
,,,,,bɛːn,banja,banjɔː
,,,,,bɛnja,,banjɔːnã
baŋk,bɑŋk,baŋk,bɛŋk,bεnk,bɛhgʏr,,bankiz
baŋk,,,bakːə,bɑkə,bahɟɪ,,bankɔːː
ban,bɑnən,banən,bana,banə,banna,,bannanã
,baːn,bɑːn,,,,,banɔː
beɪn,,,banə,banə,baːnɪ,,banɔːː
beɪn,,,,,baːna,,banɔːnã
buːsi,,banzə,boːs,bɒs,baʊːs,,bansaz
,,,,,baɪːsa,,bansijanã
,,banzə,,,,bansts,banstiz
bɑːli,,,bar,,barɾr,bariz,baraz
biəd,baːrt,baɾt,bɑːrd,,barð,,bardaz
,,,,,barða,,bardɔː
,baːrs,baɾtə,,,barða,,bardɔ̃ː
,,,,,bɛrɟa,,bargijanã
baɹəl,,,,,bɛːɾrɪtl,,barilaz
bɛɹi,,beːrən,bɛːrja,bεɐ̯jə,bɛrja,,barjanã
bɑːk,bɑrk,baɾk,bɑːrk,bɑɑk,bœrrgʏr,,barkuz
bɑːm,bɛrm,bɛɾmə,bɑːrm,bɑm,barmʏr,barms,barmaz
bɑːn,,,bɑːrn,bɑn,bardn,barn,barnã
